,Name,Country,Federal Register Notice,Effective Date,License Requirement,License Policy,Full Address,Type
0,Abdul Satar Ghoura,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri Kabul nan",Human
1,Abdul Satar Ghoura,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,Flat No. 41 Block No 24 Macroyan 3 Kabul nan,Human
2,Afghan-German Construction Company,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"Golaye Park, Shari Naw Kabul nan",Firm
3,Afghan-German Construction Company,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,nan Dasht Qala Takhar Province,Firm
4,Assadullah Majed,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,42S WD 18476 22167 Kabul nan,Human
5,Assadullah Majed,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"A2 Ground Floor, City Computer Plaza, Shar-e-Naw Kabul nan",Human
6,Fazal Rahim Farid,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"Microrayan 3rd Apt. 45, block #21 Kabul nan",Human
7,Fazal Rahim Farid,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"A2 Ground Floor, City Computer Plaza, Shar-e-Naw Kabul nan",Human
8,Habib ur Rahman,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,nan Ghazni City nan,Human
9,Haji Khalil Construction Company,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"Wazir Akbar Khan, Road Number 10, In front of National Bank, District 10 Kabul nan",Firm
10,Hanif Computer Zone (HCZ),Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,nan Ghazni City nan,Firm
11,Heim German Afghan Khalil Company,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"Wazir Akbar Khan, District 10 Kabul nan",Firm
12,Heim German Afghan Khalil Company,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,Shahr-e-Now Kabul nan,Firm
13,Heim German Afghan Khalil Company,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"Paktiyakoot, Jalalabad Road, District #9 Kabul nan",Firm
14,Ibrahim Haqqani,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,nan nan nan,Human
15,Iqra Computer Products,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"A2 Ground Floor, City Computer Plaza, Shar-e-Naw Kabul nan",Firm
16,Khalil Zadran,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,Shahreno Kabul nan,Human
17,Khalil Zadran Company,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,nan nan nan,Firm
18,Kurshid Ghoura,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri Kabul nan",Human
19,Kurshid Ghoura,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,Flat No. 41 Block No 24 Macroyan 3 Kabul nan,Human
20,Lapcom Computer Stores,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"A2 Ground Floor, City Computer Plaza, Shar-e-Naw Kabul nan",Firm
21,Muhammad Halim Ghoura,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri Kabul nan",Human
22,Muhammad Halim Ghoura,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,Flat No. 41 Block No 24 Macroyan 3 Kabul nan,Human
23,Ologh Beg International Forwarders Ltd.,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri Kabul nan",Firm
24,Onyx Construction Company,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"Shahr-e-Now, Charahi Haji Yaqoub, In front of the AIB Bank, District 10 Kabul nan",Firm
25,Onyx Construction Company,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"Char Rahi Ansari, Toaward Kolola Poshta, Shar-Naw Kabul nan",Firm
26,Qazi Abdallah,Afghanistan,76 FR 71867,11/21/2011,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"Microrayan 3rd Apt. 45, block #21 Kabul nan",Firm
27,Triangle Technologies,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,nan nan nan,Firm
28,Zurmat Construction Company offices,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"House No. 319, 10th Street Wazeer Akbar Khan Kabul nan",Firm
29,Zurmat Construction Company offices,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"Wazir Akbar Khan, District 10, Apartment 319 Kabul nan",Firm
30,Zurmat Construction Company offices,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,nan Tarin Cot City nan,Firm
31,Zurmat Construction Company offices,Afghanistan,77 FR 25055,4/27/2012,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,"Behind UNAMA Office, Pir Bagh Office Gardez nan",Firm
